,Household,Homestead,Cropland,Aquaculture land,Other
713,1_617_103,6.0,54.0,33.0,10.0
714,1_617_104,5.0,50.0,0,0
715,1_617_106,33.0,264.0,9.0,0
717,1_617_109,10.0,50.0,0,0
718,1_617_111,13.0,149.0,0,0
719,1_617_113,22.0,52.0,0,0
720,1_617_114,6.0,21.0,0,5.0
721,1_617_116,18.0,56.0,0,47.0
722,1_617_118,50.0,266.0,2.0,0
723,1_617_119,17.0,266.0,2.0,34.0
724,1_617_12,8.0,40.0,15.0,233.0
725,1_617_122,3.0,77.0,0,6.0
726,1_617_123,6.0,159.0,0,0
727,1_617_124,39.0,329.0,0,0
728,1_617_126,40.0,120.0,0,25.0
729,1_617_128,6.0,108.0,15.0,0
730,1_617_129,2.0,16.0,0,0
731,1_617_13,35.0,132.0,0,0
732,1_617_131,9.0,24.0,0,0
733,1_617_133,12.0,47.0,0,0
734,1_617_135,22.0,99.0,0,0
735,1_617_136,14.0,124.0,0,0
737,1_617_140,22.0,225.0,0,1.0
738,1_617_141,18.0,116.0,0,0
739,1_617_143,18.0,223.0,0,0
740,1_617_145,10.0,81.0,0,0
741,1_617_146,18.0,330.0,16.0,50.0
742,1_617_148,8.0,53.0,0,0
743,1_617_15,35.0,155.0,0,0
744,1_617_150,8.0,99.0,0,0
745,1_617_151,22.0,19.0,0,0
746,1_617_153,8.0,85.0,0,14.0
747,1_617_156,22.0,49.0,0,0
748,1_617_157,13.0,19.0,0,12.0
749,1_617_158,22.0,49.0,0,0
750,1_617_16,35.0,132.0,0,0
751,1_617_160,16.0,375.0,0,0
752,1_617_165,7.0,50.0,0,0
753,1_617_167,23.0,20.0,0,0
754,1_617_169,18.0,33.0,0,0
755,1_617_170,4.0,34.0,0,0
756,1_617_172,8.0,150.0,0,0
760,1_617_177,12.0,30.0,0,0
761,1_617_179,15.0,196.0,0,0
762,1_617_18,15.0,10.0,75.0,33.0
764,1_617_182,8.0,169.0,6.0,0
765,1_617_184,8.0,48.0,3.0,0
